ORRO34,ORROROO C F S
OTHL24,ONE TREE HILL C F S
OTHL34,ONE TREE HILL C F S
OTHLA34,ONE TREE HILL C F S
OWEN24,OWEN C F S
PAD251,PORT ADELAIDE TWO FIVE ONE
PAD257,PORT ADELAIDE TWO FIVE SEVEN
PARC24,PARACOMBE C F S
PARCQRV,PARACOMBE C F S
PARG14,PARINGA C F S
PARG34,PARINGA C F S
PARN19,PARNDANA C F S
PARN34,PARNDANA C F S
PASK34,PASKEVILLE C F S
PAU20,PORT AUGUSTA S E S
PAU29,PORT AUGUSTA S E S
PAU5114,PT AUGUSTA M F S
PAU518,PT AUGUSTA M F S
PAU519,PT AUGUSTA M F S
PBGH34,PETERBOROUGH C F S
PBR559,PETERBOROUGH M F S
PCCY14,PICCADILLY C F S
PCCY34P,PICCADILLY C F S
PCHA34,POOCHERA AND DISTRICTS C F S
PDS221,PARADISE M F S
PDS229,PARADISE TWO TWO NINE
PDTH19,PADTHAWAY C F S
PEAK34,PEAKE C F S
PENN24P,PENNESHAW C F S
PENN34,PENNESHAW C F S
PENO19,PENOLA C F S
PENO28,PENOLA C F S
PINN16,PINNAROO C F S
PINN19,PINNAROO C F S
PINNC1,PINNAROO C F S
PKNA24,PEKINA C F S
PL5414,PORT LINCOLN M F S
PL5442,PORT LINCOLN M F S
PLI5414,PORT LINCOLN M F S
PLI543,PORT LINCOLN M F S
PLI549,PT LINCOLN M F S
PLMR24,PALMER C F S
PLST34,PLEASANT PARK C F S
PNNG34,PENONG C F S
POND34,PONDOOMA C F S
PPI501,PORT PIRIE M F S
PPI5014,PORT PIRIE M F S
PPI502,PORT PIRIE M F S
PPI509,PORT PIRIE M F S
PPT20,PROSPECT S E S
PPT371,PROSPECT THREE SEVEN ONE
PPT377,PROSPECT THREE SEVEN SEVEN
PRAG36,ONE TREE HILL C F S
PRAG42,ONE TREE HILL C F S
PRAGC1,ONE TREE HILL C F S
PRAGC2,ONE TREE HILL C F S
PRAGC3,ONE TREE HILL C F S
PRLL24,PARILLA C F S
PRWA24,PARAWA C F S
PRWAQRV,PARAWA C F S
PTB20,PORT BROUGHTON S E S
PTB29,PORT BROUGHTON S E S
PTBR24P,PORT BROUGHTON C F S
PTBRQRV,PORT BROUGHTON C F S
PTCL34,PORT CLINTON AND DISTRICTS C F S
PTEL24P,PORT ELLIOT C F S
